Player,MIN,PTS,FGM,FGA,F3GM,F3GA,FTM,FTA,OR,DR,TR,AS,TO,ST,BS,EFF
LJ・ピーク,20.099655172413794,11.39655172413793,4.103448275862069,8.724137931034482,1.6896551724137931,4.310344827586207,1.5,2.1724137931034484,0.5862068965517241,1.6206896551724137,2.206896551724138,1.6724137931034482,0.9137931034482759,0.8103448275862069,0.20689655172413793,10.172413793103448
アイザイア・マーフィー,24.027272727272727,9.527272727272727,3.4727272727272727,8.781818181818181,0.9818181818181818,3.1636363636363636,1.6,2.3454545454545452,0.2909090909090909,2.309090909090909,2.6,2.0727272727272728,1.8181818181818181,0.9636363636363636,0.6545454545454545,8.181818181818182
アイラ・ブラウン,31.810185185185187,14.092592592592593,5.518518518518518,11.222222222222221,0.6666666666666666,2.0555555555555554,2.388888888888889,3.8333333333333335,2.074074074074074,5.2592592592592595,7.333333333333333,3,1.7962962962962963,1.2592592592592593,0.9629629629629629,18.61111111111111
アキ・チェンバース,25.13692307692308,9.384615384615385,3.6538461538461537,8.346153846153847,1.3461538461538463,4,0.7307692307692307,0.9038461538461539,0.6923076923076923,1.9230769230769231,2.6153846153846154,1.8653846153846154,1.0769230769230769,0.7307692307692307,0.07692307692307693,8.038461538461538
アレックス・カーク,28.848857142857142,17.085714285714285,6.4,11.657142857142857,0.4,1.1714285714285715,3.8857142857142857,4.828571428571428,3.3714285714285714,6.314285714285714,9.657142857142857,1.4857142857142858,0.9142857142857143,0.5714285714285714,1,24.97142857142857
アレックス・デイビス,27.58037037037037,11.88888888888889,4.592592592592593,8,0.2037037037037037,1.0925925925925926,2.5,4.2592592592592595,2.685185185185185,4.685185185185185,7.37037037037037,2.185185185185185,2.1481481481481484,1.7777777777777777,2.2222222222222223,17.944444444444443
アレン・ダーラム,27.075714285714284,16.02857142857143,6.2,11.6,0.6,1.6571428571428573,3.0285714285714285,4.6571428571428575,2.7714285714285714,6.371428571428571,9.142857142857142,3.742857142857143,2.4571428571428573,0.8571428571428571,0.4,22.742857142857144
アンガス・ブラント,28.729824561403507,11.807017543859649,4.719298245614035,8.298245614035087,0.05263157894736842,0.19298245614035087,2.3157894736842106,3.192982456140351,2.56140350877193,5.859649122807017,8.421052631578947,3.2280701754385963,1.912280701754386,0.5964912280701754,0.2807017543859649,18.736842105263158
アンソニー・マクヘンリー,30.793695652173913,10.717391304347826,4.108695652173913,9.369565217391305,0.8913043478260869,3.369565217391304,1.608695652173913,2.4130434782608696,1.608695652173913,5.478260869565218,7.086956521739131,5.043478260869565,2.3043478260869565,1.2608695652173914,1.108695652173913,16.67391304347826
アンドリュー・ランダル,22.4775,10.25,4,7.75,1,3,1.25,2,1.25,5.5,6.75,1.25,1.25,0.75,0,15
アンドレ・マレー,14.969999999999999,7.5,2.75,7,1.5,3.25,0.5,0.5,0.5,1.5,2,1.25,1.75,0.5,0,5
ウィリアムスニカ,22.555833333333332,10.766666666666667,4.266666666666667,6.633333333333334,0.016666666666666666,0.016666666666666666,2.216666666666667,3.45,2.6166666666666667,3.433333333333333,6.05,0.9666666666666667,2.0833333333333335,0.85,0.55,13.266666666666667
ウィル・クリークモア,32.24,17.25,5.5,11.75,1.5,4.25,4.75,5.75,2,5.75,7.75,2.25,1.75,1.25,1,23
ウェイン・マーシャル,28.491363636363637,17,5.954545454545454,11.159090909090908,1.1363636363636365,3.159090909090909,3.9545454545454546,5.181818181818182,2,4.25,6.25,2.1818181818181817,1.8181818181818181,0.6363636363636364,1.3181818181818181,20.431818181818183
エドワード・モリス,11.735681818181819,2.6818181818181817,0.9545454545454546,2.3636363636363638,0.09090909090909091,0.36363636363636365,0.6818181818181818,1.1136363636363635,1.1590909090909092,2.1136363636363638,3.272727272727273,0.5909090909090909,0.5227272727272727,0.06818181818181818,0.29545454545454547,4.363636363636363
エリエット・ドンリー,14.755471698113208,2.943396226415094,1.2075471698113207,2.792452830188679,0.39622641509433965,1.0377358490566038,0.1320754716981132,0.22641509433962265,0.5660377358490566,1.2264150943396226,1.7924528301886793,0.7547169811320755,0.4339622641509434,0.20754716981132076,0.24528301886792453,2.811320754716981
エリック・ニッセン,6.7425,2.75,1.25,2.25,0,0,0.25,1.5,1.5,2.25,3.75,0.75,1,0.25,0,3.75
カイル・コリンズワース,24.697115384615383,8.384615384615385,3.576923076923077,6.903846153846154,0.2692307692307692,0.8461538461538461,0.9615384615384616,1.7307692307692308,3.0384615384615383,5.288461538461538,8.326923076923077,5.519230769230769,1.7307692307692308,1.0576923076923077,0.21153846153846154,17.53846153846154
カイル・バローン,9.229,3.6,1.4,2.4,0.1,0.2,0.7,1,0.9,2,2.9,0.2,0.6,0.1,0.4,5.7
カイル・ハント,29.054285714285715,16.877551020408163,7.285714285714286,12.10204081632653,0,0,2.306122448979592,3.5918367346938775,3.326530612244898,4.979591836734694,8.306122448979592,1.3673469387755102,1.469387755102041,1.1020408163265305,1.3061224489795917,21.224489795918366
カディーム・コールビー,26.46,12.342857142857143,4.857142857142857,7.514285714285714,0,0.02857142857142857,2.6285714285714286,4.3428571428571425,3.8857142857142857,4.057142857142857,7.942857142857143,2.4285714285714284,1.2857142857142858,1.0857142857142856,1.6285714285714286,20.942857142857143
キム・ティリ,17.314634146341465,5.829268292682927,2.073170731707317,5.219512195121951,1.146341463414634,3.4390243902439024,0.5365853658536586,0.6585365853658537,1.3658536585365855,3,4.365853658536586,1.4878048780487805,0.6585365853658537,0.6829268292682927,0.17073170731707318,7.414634146341464
キム・ティリー,5.53,3,1,1,1,1,0,0,0,3,3,0,1,0,0,5
ギャビン・エドワーズ,25.90207547169811,12.79245283018868,4.679245283018868,7.509433962264151,0.6226415094339622,1.471698113207547,2.811320754716981,3.7735849056603774,1.9056603773584906,4.226415094339623,6.132075471698113,1.6603773584905661,1.6603773584905661,0.7924528301886793,0.5283018867924528,17.09433962264151
ギャレット・スタツ,19.259807692307692,11.461538461538462,4.5576923076923075,8.115384615384615,0.15384615384615385,0.4230769230769231,2.1923076923076925,2.6923076923076925,1.7884615384615385,5.461538461538462,7.25,1.5961538461538463,1.6153846153846154,0.5,0.5192307692307693,15.403846153846153
キング開,7.2785714285714285,3.142857142857143,1,2.4285714285714284,0.8571428571428571,1.7142857142857142,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.14285714285714285,3.142857142857143
グレゴリー・エチェニケ,32.474909090909094,17.09090909090909,6.381818181818182,10.290909090909091,0,0.03636363636363636,4.327272727272727,5.836363636363636,3.309090909090909,6.454545454545454,9.763636363636364,2,2.0545454545454547,0.8,0.7818181818181819,25.254545454545454
ケドリック・ストックマン・ジュニア,8.410400000000001,2.12,0.88,2.42,0.2,0.86,0.16,0.28,0.32,0.46,0.78,1.24,1.08,0.34,0.08,1.22
ケビン・ジョーンズ,28.915744680851063,16.04255319148936,6.425531914893617,11.382978723404255,1,2.404255319148936,2.1914893617021276,3.276595744680851,2.5106382978723403,5.574468085106383,8.085106382978724,1.7234042553191489,0.6170212765957447,1.0851063829787233,0.6595744680851063,21.72340425531915
コー・フリッピン,8.662692307692307,2.75,1.0192307692307692,2.4615384615384617,0.17307692307692307,0.6923076923076923,0.5384615384615384,0.9423076923076923,0.28846153846153844,0.4807692307692308,0.7692307692307693,1.3269230769230769,0.7884615384615384,0.6153846153846154,0.21153846153846154,2.076923076923077
サーディ・ラベナ,19.501428571428573,7.761904761904762,3.0476190476190474,8.523809523809524,0.7142857142857143,2.619047619047619,0.9523809523809523,1.7619047619047619,0.6190476190476191,2.4761904761904763,3.0952380952380953,1.380952380952381,1.2857142857142858,0.6190476190476191,0.14285714285714285,5.0476190476190474
ザック・バランスキー,15.536785714285713,3.3392857142857144,1.2142857142857142,3.1785714285714284,0.6071428571428571,1.7857142857142858,0.30357142857142855,0.42857142857142855,0.42857142857142855,1.6071428571428572,2.0357142857142856,1.0892857142857142,0.42857142857142855,0.5357142857142857,0.07142857142857142,3.607142857142857
ジージオ・ベイン,17.475,4.5,2.25,3.25,0,0,0,0.5,0.75,3.5,4.25,0.5,1.25,0.25,0.75,4
ジェイソン・ウォッシュバーン,29.25521739130435,17.02173913043478,7,13.021739130434783,0.5434782608695652,1.434782608695652,2.4782608695652173,3.3260869565217392,2.391304347826087,5.739130434782608,8.130434782608695,1.7826086956521738,1.9130434782608696,0.6304347826086957,1.2826086956521738,21.08695652173913
シェーファーアヴィ幸樹,25.31981818181818,9.472727272727273,3.890909090909091,7.618181818181818,0.6727272727272727,1.8727272727272728,1.018181818181818,1.5636363636363637,1.3818181818181818,3.327272727272727,4.709090909090909,1.309090909090909,0.9090909090909091,0.4727272727272727,0.23636363636363636,10.50909090909091
ジェームズ・マイケル・マカドゥ,20.2816,10.4,4.22,7.4,0.02,0.1,1.94,3.4,2.34,3.74,6.08,1.28,1.04,1.3,0.3,14.24
シェーン・ウィティングトン,18.8294,9.66,3.56,6.38,1.26,2.82,1.28,1.7,1.18,2.66,3.84,0.82,0.7,0.56,0.34,11
ジェフ・エアーズ,26.054642857142856,13.25,4.482142857142857,9.107142857142858,1.4107142857142858,3.767857142857143,2.875,3.3392857142857144,1.7321428571428572,6.714285714285714,8.446428571428571,1.3928571428571428,1.7857142857142858,0.26785714285714285,0.6785714285714286,17.964285714285715
ジェフ・ギブス,19.827333333333332,9.116666666666667,3.3666666666666667,7,0.25,1.2333333333333334,2.1333333333333333,2.7,2.2666666666666666,3.9166666666666665,6.183333333333334,2.2333333333333334,1.0833333333333333,1.1166666666666667,0.3,13.35
ジャスティン・ハーパー,24.635714285714286,12.314285714285715,4.628571428571429,9.371428571428572,1.2285714285714286,3.257142857142857,1.8285714285714285,2.2857142857142856,1.6571428571428573,4.742857142857143,6.4,1.1714285714285715,1.3142857142857143,0.5428571428571428,0.4857142857142857,14.314285714285715
ジャスティン・バーレル,26.67723404255319,13.02127659574468,4.914893617021277,8.446808510638299,0.1702127659574468,0.44680851063829785,3.021276595744681,4.574468085106383,1.4042553191489362,6.212765957446808,7.617021276595745,2.765957446808511,1.8085106382978724,0.723404255319149,0.40425531914893614,19.851063829787233
ジャック・クーリー,28.086363636363636,16.363636363636363,6.072727272727272,10.127272727272727,0.01818181818181818,0.2,4.2,5.509090909090909,5,7.327272727272727,12.327272727272728,1.6727272727272726,1.6181818181818182,0.9272727272727272,0.5636363636363636,26.345454545454544
シャノン・ショーター,24.330185185185186,11.907407407407407,4.148148148148148,9.574074074074074,0.7777777777777778,2.8703703703703702,2.8333333333333335,3.3333333333333335,0.7962962962962963,3.8703703703703702,4.666666666666667,3.5925925925925926,1.2777777777777777,0.8518518518518519,0.14814814814814814,15.11111111111111
ジャマール・ソープ,8.935714285714285,3.5,1.1428571428571428,2,0,0.07142857142857142,1.2142857142857142,1.5714285714285714,0.9285714285714286,1.2142857142857142,2.142857142857143,0.42857142857142855,0.5714285714285714,0.07142857142857142,0.07142857142857142,4.071428571428571
ジャマリ・トレイラー,26.84689655172414,12.862068965517242,4.931034482758621,10.10344827586207,0.13793103448275862,1.0689655172413792,2.8620689655172415,3.896551724137931,2.310344827586207,4.482758620689655,6.793103448275862,2.2413793103448274,1.8620689655172413,1.6896551724137931,1.103448275862069,16.517241379310345
ジャワッド・ウィリアムズ,24.433061224489798,10.040816326530612,3.6122448979591835,8.775510204081632,1.4489795918367347,4.142857142857143,1.3673469387755102,1.7755102040816326,0.9591836734693877,3.163265306122449,4.122448979591836,1.469387755102041,1.1020408163265305,0.7142857142857143,0.20408163265306123,9.224489795918368
ジュリアン・マブンガ,33.321636363636365,19.90909090909091,6.218181818181818,13.381818181818181,2.272727272727273,6.181818181818182,5.2,7.509090909090909,1.0909090909090908,6,7.090909090909091,7.1454545454545455,3.6363636363636362,0.9454545454545454,0.4909090909090909,26.69090909090909
ジョーダン・テイラー,22.633469387755103,13.673469387755102,4.6938775510204085,11.36734693877551,1.2040816326530612,4.204081632653061,3.0816326530612246,3.979591836734694,0.6326530612244898,3.1020408163265305,3.7346938775510203,4.6938775510204085,2.0816326530612246,1.346938775510204,0.08163265306122448,15.775510204081632
ジョーダン・ハミルトン,32.925555555555555,20.85185185185185,7.555555555555555,17.22222222222222,2.685185185185185,8.185185185185185,3.0555555555555554,4.518518518518518,1.2222222222222223,7.111111111111111,8.333333333333334,6.018518518518518,2.9444444444444446,1.3148148148148149,0.2777777777777778,23.85185185185185
ジョーダン・ヒース,26.23840909090909,10.681818181818182,4.090909090909091,7.545454545454546,1.0454545454545454,3.0454545454545454,1.4545454545454546,2.727272727272727,1.5681818181818181,5.431818181818182,7,1.0454545454545454,0.8181818181818182,0.8181818181818182,1.4318181818181819,15.227272727272727
ジョーダン・フェイゾン,33.8875,21,8.75,14.75,0.25,2,3.25,5.25,2.25,6,8.25,2,2.25,0,1.5,23.5
ジョシュ・スコット,23.18949152542373,11.796610169491526,4.52542372881356,7.169491525423729,0,0.03389830508474576,2.7457627118644066,4.338983050847458,3.3389830508474576,5,8.3389830508474585,0.9661016949152542,1.0169491525423728,0.711864406779661,1.3220338983050848,19.406779661016948
ジョシュ・ダンカン,23.59767857142857,13.535714285714286,4.625,8.482142857142858,0.7678571428571429,1.9642857142857142,3.517857142857143,4.410714285714286,1.9107142857142858,5.160714285714286,7.071428571428571,1.4821428571428572,1.3571428571428572,0.4642857142857143,0.2857142857142857,18.053571428571427
ジョシュ・ハレルソン,29.662407407407407,12.62962962962963,5.055555555555555,11.074074074074074,1.2592592592592593,3.5555555555555554,1.2592592592592593,1.7962962962962963,2.4814814814814814,6.981481481481482,9.462962962962964,3.0185185185185186,1.6666666666666667,1.1296296296296295,0.9814814814814815,18.333333333333332
ジョシュ・ホーキンソン,25.84936170212766,15.808510638297872,5.212765957446808,10.53191489361702,1.8085106382978724,4.702127659574468,3.574468085106383,4.297872340425532,1.9148936170212767,6.085106382978723,8,2.276595744680851,1.297872340425532,0.6382978723404256,0.6170212765957447,21.872340425531913
ジョシュア・スミス,26.655094339622643,15.981132075471699,5.943396226415095,8.433962264150944,0.018867924528301886,0.05660377358490566,4.0754716981132075,5.867924528301887,3.4150943396226414,6.245283018867925,9.660377358490566,2.5660377358490565,1.5471698113207548,0.6981132075471698,0.5283018867924528,25.50943396226415
ジョナサン・オクテウス,18.29418181818182,12.527272727272727,4.636363636363637,10.781818181818181,1.2545454545454546,3.727272727272727,2,2.890909090909091,1.0909090909090908,2.418181818181818,3.5090909090909093,1.8909090909090909,1.2181818181818183,0.8,0.2545454545454545,10.963636363636363
ステヴァン・イェロヴァツ,30.863076923076925,18.846153846153847,6,13.807692307692308,1.9038461538461537,5.288461538461538,4.9423076923076925,5.519230769230769,2.1346153846153846,6.826923076923077,8.961538461538462,1.8846153846153846,1.9230769230769231,0.6346153846153846,0.11538461538461539,22.01923076923077
セドリック・シモンズ,13.277368421052632,4.7368421052631575,2.1052631578947367,2.9473684210526314,0,0,0.5263157894736842,1.5263157894736843,1.2105263157894737,2.6315789473684212,3.8421052631578947,0.7368421052631579,0.5263157894736842,0.42105263157894735,1.1578947368421053,7.7368421052631575
セバスチャン・サイズ,27.998421052631578,17.087719298245613,6.12280701754386,11.614035087719298,0.5789473684210527,1.8596491228070176,4.2631578947368425,5.4035087719298245,3.807017543859649,7.894736842105263,11.701754385964913,1.2456140350877194,1.6842105263157894,0.6842105263157895,1.0175438596491229,24.719298245614034
ダバンテ・ガードナー,29.911272727272728,19.545454545454547,7.527272727272727,13.50909090909091,1,3.2545454545454544,3.4909090909090907,4.1454545454545455,1.1818181818181819,6.254545454545455,7.4363636363636365,4.890909090909091,1.8,0.8909090909090909,0.4,26.054545454545455
チャールズ・ジャクソン,25.9575,15.566666666666666,6.316666666666666,9.583333333333334,0,0.016666666666666666,2.933333333333333,5.166666666666667,3.6333333333333333,5.183333333333334,8.816666666666666,1.5666666666666667,2.2333333333333334,1.1833333333333333,0.5666666666666667,21.2
チリジ・ネパウェ,15.36923076923077,6.384615384615385,2.3846153846153846,4.153846153846154,0,0,1.6153846153846154,3,2.076923076923077,3.769230769230769,5.846153846153846,0.5384615384615384,0.8461538461538461,0.23076923076923078,0.5384615384615384,9.923076923076923
ディージェイ・ニュービル,30.4058,19.34,6.32,11.9,2.86,6.46,3.84,4.84,0.54,3.2,3.74,6,2.06,1.22,0.14,24.04
デイヴィッド・サイモン,28.93982456140351,17.80701754385965,7.035087719298246,13.912280701754385,0.43859649122807015,1.3859649122807018,3.2982456140350878,5.0701754385964914,0.9824561403508771,6.280701754385965,7.2631578947368425,2.175438596491228,1.9298245614035088,0.8421052631578947,1.1228070175438596,21.140350877192983
テーブス海,16.348333333333333,5.95,2.183333333333333,5.8,0.6,2.05,0.9833333333333333,1.45,0.26666666666666666,1.4833333333333334,1.75,2.6166666666666667,1.2,0.55,0,5.066666666666666
デション・トーマス,24.66,16.6,5.8,12.177777777777777,1.511111111111111,3.6444444444444444,3.488888888888889,4.4,1.511111111111111,3.1777777777777776,4.688888888888889,1.711111111111111,1.0444444444444445,0.4,0.17777777777777778,16.622222222222224
デモン・ブルックス,30.751428571428573,17.946428571428573,6.5,13.196428571428571,1.3035714285714286,3.9107142857142856,3.642857142857143,4.321428571428571,1.9107142857142858,4.767857142857143,6.678571428571429,2.4107142857142856,2.232142857142857,1.0178571428571428,0.30357142857142855,19.142857142857142
ドウェイン・エバンス,26.622307692307693,17.21153846153846,6.153846153846154,11.057692307692308,0.7115384615384616,1.9423076923076923,4.1923076923076925,5.403846153846154,1.75,6.269230769230769,8.01923076923077,2.673076923076923,1.9038461538461537,1.25,0.3269230769230769,25.096153846153847
トーマス・ケネディ,27.459230769230768,16.307692307692307,6.1923076923076925,13.653846153846153,2.230769230769231,5.788461538461538,1.6923076923076923,2.0384615384615383,0.6153846153846154,3.6538461538461537,4.269230769230769,2.3653846153846154,1.6153846153846154,0.8846153846153846,0.19230769230769232,13.26923076923077
ナナーダニエル弾,1.3964705882352941,0.7058823529411765,0.29411764705882354,0.6470588235294118,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.23529411764705882,0,0.11764705882352941,0.11764705882352941,0,0.23529411764705882,0,0,-0.29411764705882354
ニック・ファジーカス,29.979285714285716,20.660714285714285,7.696428571428571,14.410714285714286,1.5892857142857142,3.607142857142857,3.6785714285714284,4.339285714285714,1.9642857142857142,7.732142857142857,9.696428571428571,3.7142857142857144,2.232142857142857,0.9107142857142857,0.30357142857142855,27.375
ニック・メイヨ,33.622727272727275,21.490909090909092,8.418181818181818,15.89090909090909,1.4727272727272727,3.5272727272727273,3.1818181818181817,3.8727272727272726,2.3636363636363638,5.654545454545454,8.018181818181818,2.2181818181818183,1.7818181818181817,0.8909090909090909,0.7454545454545455,24.181818181818183
ネナド・ミリェノヴィッチ,11.75925,5.35,2.1,4.45,0.15,0.575,1,1.425,0.375,0.925,1.3,2.45,1.225,0.55,0.025,5.625
ハーパージャンジュニア,3.328,1.8,0.8,2,0,0.6,0.2,0.4,0,0.6,0.6,0.2,0.6,0,0,0.2
パトリック・アウダ,25.377924528301886,15.622641509433961,6,10.641509433962264,0.3584905660377358,0.9056603773584906,3.2641509433962264,5.226415094339623,1.679245283018868,3.8867924528301887,5.566037735849057,2,2.2830188679245285,0.6037735849056604,0.3018867924528302,16.547169811320753
ハビエル・カーター,21.973508771929826,8.912280701754385,3.3508771929824563,7.701754385964913,1.1228070175438596,3.3859649122807016,1.087719298245614,1.5789473684210527,1.3333333333333333,3.9649122807017543,5.298245614035087,1.4035087719298245,0.9298245614035088,0.8596491228070176,0.7017543859649122,10.614035087719298
パブロ・アギラール,26.157931034482758,11.53448275862069,4.551724137931035,8.551724137931034,0.8620689655172413,2.8275862068965516,1.5689655172413792,2.793103448275862,2.3448275862068964,5.568965517241379,7.913793103448276,2.3793103448275863,1.1896551724137931,1.8620689655172413,0.5344827586206896,18.32758620689655
ファイパプ月瑠,20.428125,3.7708333333333335,1.4375,3.4375,0,0,0.8958333333333334,2.0208333333333335,1.625,2.7916666666666665,4.416666666666667,0.6666666666666666,0.6041666666666666,0.5,0.16666666666666666,4.583333333333333
