Player,MIN,PTS,TR,AS,TO
Precious Achiuwa,12.1,5,3.4,0.5,0.7
Jaylen Adams,2.6,0.3,0.4,0.3,0
Steven Adams,27.7,7.6,8.9,1.9,1.36
Bam Adebayo,33.5,18.7,9,5.4,2.64
LaMarcus Aldridge,25.9,13.7,4.5,1.7,0.95
LaMarcus Aldridge,26,12.8,4.8,2.6,1.4
Ty-Shon Alexander,3.2,0.6,0.7,0.4,0.2
Nickeil Alexander-Walker,21.9,11,3.1,2.2,1.5
Grayson Allen,25.2,10.6,3.2,2.2,0.96
Jarrett Allen,26.6,11.2,10.4,1.7,1.83
Jarrett Allen,30.3,13.2,9.9,1.7,1.53
Al-Farouq Aminu,21.6,5.5,5.4,1.7,1.47
Al-Farouq Aminu,11.2,1.5,3.2,0.3,0.5
Kyle Anderson,27.4,12.4,5.7,3.6,1.25
Giannis Antetokounmpo,33,28.1,11,5.9,3.39
Kostas Antetokounmpo,3.7,0.8,1.3,0.1,0.73
Thanasis Antetokounmpo,9.7,2.9,2.2,0.8,0.75
Carmelo Anthony,24.5,13.4,3.1,1.5,0.88
Cole Anthony,27.1,12.9,4.7,4.1,2.26
OG Anunoby,33.3,15.9,5.5,2.2,1.74
Ryan Arcidiacono,10.2,3.1,1.5,1.3,0.23
Trevor Ariza,28,9.4,4.8,1.8,0.7
D.J. Augustin,19.3,6.1,1.4,3,0.92
D.J. Augustin,20.8,10.6,2.2,3.9,1.55
Deni Avdija,23.3,6.3,4.8,1.2,0.61
Deandre Ayton,30.6,14.4,10.5,1.4,1.48
Udoka Azubuike,3.8,1.1,0.9,0,0.2
Dwayne Bacon,25.7,10.9,3.1,1.3,0.63
Marvin Bagley III,25.9,14.1,7.4,1,1.37
LaMelo Ball,28.8,15.7,5.9,6.1,2.84
Lonzo Ball,31.8,14.6,4.8,5.7,2.24
Mo Bamba,15.8,8,5.8,0.8,0.8
Desmond Bane,22.3,9.2,3.1,1.7,0.87
Harrison Barnes,36.3,16.1,6.6,3.5,1.6
RJ Barrett,34.9,17.6,5.8,3,1.93
Will Barton,31,12.7,4,3.2,1.71
Keita Bates-Diop,8.2,2.6,1.6,0.4,0.23
Nicolas Batum,27.4,8.1,4.7,2.2,0.79
Aron Baynes,18.5,6.1,5.2,0.9,0.87
Kent Bazemore,19.9,7.2,3.4,1.6,1.22
Darius Bazley,31.2,13.7,7.2,1.8,2.22
Bradley Beal,35.8,31.3,4.7,4.4,3.12
Malik Beasley,32.8,19.6,4.4,2.4,1.62
Jordan Bell,13.4,2.8,3.8,1,0.6
Jordan Bell,14.7,1,5,2,1
DeAndre' Bembry,19.1,5.7,2.9,2.1,1.39
Davis Bertans,25.7,11.5,3,0.9,0.58
Patrick Beverley,22.5,7.5,3.2,2.1,0.92
Saddiq Bey,27.3,12.2,4.6,1.4,0.86
Tyler Bey,3.9,1,1,0.2,0.17
Khem Birch,19.8,5.3,5.1,1.1,0.48
Khem Birch,30.4,11.9,7.5,1.9,1.11
Goga Bitadze,12.5,5.1,3.3,0.8,0.38
Bismack Biyombo,20.4,5,5.3,1.2,1.08
Nemanja Bjelica,16.9,7.2,3.8,1.9,1.08
Nemanja Bjelica,14.2,5,2.5,1.8,0.45
Eric Bledsoe,29.7,12.2,3.4,3.8,1.58
Keljin Blevins,4.4,0.7,0.6,0.2,0.29
Bojan Bogdanovic,30.8,17,3.9,1.9,1.78
Bogdan Bogdanovic,29.7,16.4,3.6,3.3,1.23
Bol Bol,5,2.2,0.8,0.2,0.41
Marques Bolden,4.8,1.2,1,0,0.33
Jordan Bone,14,4,1.7,1.3,0.21
Isaac Bonga,10.8,2,1.7,0.6,0.55
Devin Booker,33.9,25.6,4.2,4.3,3.09
Chris Boucher,24.2,13.6,6.7,1.1,0.77
Brian Bowen II,2.8,0.6,0.6,0,0
Avery Bradley,21.1,8.5,1.8,1.4,0.9
Avery Bradley,23,5.2,2.3,1.9,1.12
Tony Bradley,14.4,5.5,5.2,0.9,0.3
Tony Bradley,18,8.7,6.1,0.9,1.23
Jarrell Brantley,4.9,2.3,1,0.5,0.29
Ignas Brazdeikis,1.8,0.5,0.5,0.3,0.25
Ignas Brazdeikis,7.9,0,2,0,0
Ignas Brazdeikis,29.2,11.1,5.1,2,1.38
Miles Bridges,29.3,12.7,6,2.2,1.61
Mikal Bridges,32.6,13.5,4.3,2.1,0.81
Amida Brimah,5.9,2.6,1.6,0.2,0.8
Oshae Brissett,24.7,10.9,5.5,0.9,0.48
Malcolm Brogdon,34.5,21.2,5.3,5.9,2.05
Armoni Brooks,26,11.2,3.4,1.5,1.1
Dillon Brooks,29.8,17.2,2.9,2.3,1.78
Charlie Brown Jr.,16.9,4.4,1.9,1,0.67
Troy Brown Jr.,13.7,4.3,2.9,0.9,0.76
Troy Brown Jr.,18.2,5.5,3.4,0.8,0.38
Bruce Brown,22.3,8.8,5.4,1.6,0.83
Jaylen Brown,34.5,24.7,6,3.4,2.72
Moses Brown,21.4,8.6,8.9,0.2,1
Sterling Brown,24.1,8.2,4.4,1.4,0.8
Jalen Brunson,25,12.6,3.4,3.5,1.18
Elijah Bryant,31.6,16,6,3,4
Thomas Bryant,27.1,14.3,6.1,1.5,1.1
Reggie Bullock,30,10.9,3.4,1.5,0.69
Trey Burke,14.7,6.6,0.9,1.3,0.53
Alec Burks,25.6,12.7,4.6,2.2,1
Jimmy Butler,33.6,21.5,6.9,7.1,2.1
Bruno Caboclo,6.1,2.8,2.3,0.2,0.67
Devontae Cacok,4.9,2,1.6,0.1,0.2
Kentavious Caldwell-Pope,28.4,9.7,2.7,1.9,1.01
Facundo Campazzo,21.9,6.1,2.1,3.6,1.12
Vlatko Cancar,6.9,2.1,1.2,0.3,0.34
Devin Cannady,9.3,4.3,0.6,0.1,0.25
Clint Capela,30.1,15.2,14.3,0.8,1.16
Vernon Carey Jr.,6,2.4,1.4,0.1,0.26
Wendell Carter Jr.,24.7,10.9,7.8,2.2,1.53
Wendell Carter Jr.,26.5,11.7,8.8,1.6,1.32
Jevon Carter,11.9,4.1,1.5,1.2,0.27
Michael Carter-Williams,25.8,8.8,4.5,4.1,2.23
Alex Caruso,21,6.4,2.9,2.8,1.31
Willie Cauley-Stein,17.1,5.3,4.5,0.7,0.55
Chris Chiozza,10.6,4,1.1,3,0.73
Marquese Chriss,13.4,6.5,6.5,1,1
Brandon Clarke,24,10.3,5.6,1.6,0.56
Gary Clark,18.2,3.4,3.2,0.9,0.49
Gary Clark,2.1,0,0.5,0,0
Gary Clark,6.4,0,1,0.5,0
Jordan Clarkson,26.7,18.4,4,2.5,1.69
Nicolas Claxton,18.6,6.6,5.2,0.9,0.56
Amir Coffey,9,3.2,1,0.5,0.34
John Collins,29.3,17.6,7.4,1.2,1.33
Mike Conley,29.4,16.2,3.5,6,1.94
Pat Connaughton,22.8,6.8,4.8,1.2,0.48
Quinn Cook,3.9,2.1,0.3,0.3,0.19
Quinn Cook,13.6,6.1,1.7,1.9,0.57
Tyler Cook,4.2,0.5,0.5,0.5,0.25
Tyler Cook,15,5.5,3.4,0.5,0.75
DeMarcus Cousins,20.2,9.6,7.6,2.4,1.56
DeMarcus Cousins,12.9,7.8,4.5,1,1.56
Robert Covington,32,8.5,6.7,1.7,0.91
Torrey Craig,11.2,2.5,2.4,0.9,0.28
Torrey Craig,18.8,7.2,4.8,1,0.63
Jae Crowder,27.5,10.1,4.7,2.1,0.92
Jarrett Culver,14.7,5.3,3.1,0.7,0.82
Seth Curry,28.7,12.5,2.4,2.7,1.14
Stephen Curry,34.2,32,5.5,5.8,3.38
Nate Darling,3.7,1.3,0.1,0.1,0.14
Anthony Davis,32.3,21.8,7.9,3.1,2.06
Ed Davis,13,2.1,5,0.9,0.3
Terence Davis,14.5,6.9,1.9,1.1,0.85
Terence Davis,21.5,11.1,3.3,1.7,1.26
Gabriel Deck,21.2,8.4,4,2.4,0.6
Dewayne Dedmon,13.2,7.1,5.4,0.8,0.81
Matthew Dellavedova,17.2,2.8,1.8,4.5,0.46
DeMar DeRozan,33.7,21.6,4.2,6.9,1.95
Mamadi Diakite,10.1,3.1,2.4,0.6,0.21
Hamidou Diallo,23.8,11.9,5.2,2.4,1.53
Hamidou Diallo,23.3,11.2,5.4,1.2,1.35
Gorgui Dieng,16.9,7.9,4.5,1.3,1
Gorgui Dieng,11.3,5.3,2.6,1.2,0.63
Spencer Dinwiddie,21.4,6.7,4.3,3,1.67
Donte DiVincenzo,27.5,10.4,5.8,3.1,1.39
Luka Doncic,34.3,27.7,8,8.6,4.26
Luguentz Dort,29.7,14,3.6,1.7,1.52
Damyean Dotson,19.7,6.7,2,2,0.91
Devon Dotson,4.6,2.1,0.5,0.6,0
Sekou Doumbouya,15.5,5.1,2.6,0.8,0.79
PJ Dozier,21.8,7.7,3.6,1.8,0.94
Goran Dragic,26.7,13.4,3.3,4.4,2.38
Andre Drummond,28.9,17.5,13.5,2.6,3.24
Andre Drummond,24.8,11.9,10.2,1.4,2.05
Jared Dudley,6.7,0.5,1.8,0.4,0.17
Kris Dunn,11.4,1.3,1.5,0.5,0.75
Kevin Durant,33.1,26.9,7.1,5.6,3.43
Anthony Edwards,32.1,19.3,4.7,2.9,2.24
Carsen Edwards,8.9,4,0.8,0.5,0.23
CJ Elleby,6.4,2.3,1.1,0.3,0.17
Henry Ellenson,19.2,7.5,6,2.5,0
Wayne Ellington,22,9.6,1.8,1.5,0.72
Joel Embiid,31.1,28.5,10.5,2.8,3.12
